CheckoutYear,MaterialType,Checkouts
2005,BOOK,2125169
2005,VIDEODISC,545824
2005,EBOOK,1322
2005,SOUNDDISC,571569
2005,AUDIOBOOK,2637
2005,VIDEOCASS,411514
2005,SONG,
2005,MAGAZINE,
2005,MUSIC,9352
2005,SOUNDCASS,84918
2005,MIXED,22182
2005,MOVIE,
2005,CR,12400
2005,"SOUNDDISC, VIDEODISC",942
2005,VISUAL,3370
2005,REGPRINT,183
2005,TELEVISION,
2005,SOUNDREC,1310
2005,VIDEO,
2005,COMIC,
2005,(Other),5993
2005,TOTAL,1331652
2006,BOOK,3370149
2006,VIDEODISC,1483585
2006,EBOOK,5828
2006,SOUNDDISC,1056450
2006,AUDIOBOOK,9892
2006,VIDEOCASS,479581
2006,SONG,
2006,MAGAZINE,
2006,MUSIC,14764
2006,SOUNDCASS,96893
2006,MIXED,36233
2006,MOVIE,
2006,CR,19011
2006,"SOUNDDISC, VIDEODISC",2448
2006,VISUAL,9254
2006,REGPRINT,466
2006,TELEVISION,
2006,SOUNDREC,2960
2006,VIDEO,
2006,COMIC,
2006,(Other),11804
2006,TOTAL,1938925
2007,BOOK,3651271
2007,VIDEODISC,1717857
2007,EBOOK,8898
2007,SOUNDDISC,1224855
2007,AUDIOBOOK,19812
2007,VIDEOCASS,324386
2007,SONG,
2007,MAGAZINE,
2007,MUSIC,16655
2007,SOUNDCASS,67960
2007,MIXED,38373
2007,MOVIE,
2007,CR,18689
2007,"SOUNDDISC, VIDEODISC",5852
2007,VISUAL,10263
2007,REGPRINT,444
2007,TELEVISION,
2007,SOUNDREC,4061
2007,VIDEO,3409
2007,COMIC,
2007,(Other),13842
2007,TOTAL,2040106
2008,BOOK,4106632
2008,VIDEODISC,2488267
2008,EBOOK,15993
2008,SOUNDDISC,1436182
2008,AUDIOBOOK,34234
2008,VIDEOCASS,181666
2008,SONG,
2008,MAGAZINE,
2008,MUSIC,16324
2008,SOUNDCASS,43812
2008,MIXED,42997
2008,MOVIE,
2008,CR,19094
2008,"SOUNDDISC, VIDEODISC",9629
2008,VISUAL,11000
2008,REGPRINT,514
2008,TELEVISION,
2008,SOUNDREC,5760
2008,VIDEO,10965
2008,COMIC,
2008,(Other),15417
2008,TOTAL,2136504
2009,BOOK,4413879
2009,VIDEODISC,2890888
2009,EBOOK,31920
2009,SOUNDDISC,1516210
2009,AUDIOBOOK,54989
2009,VIDEOCASS,80120
2009,SONG,
2009,MAGAZINE,
2009,MUSIC,17425
2009,SOUNDCASS,23336
2009,MIXED,29581
2009,MOVIE,
2009,CR,19339
2009,"SOUNDDISC, VIDEODISC",14606
2009,VISUAL,11843
2009,REGPRINT,636
2009,TELEVISION,
2009,SOUNDREC,8192
2009,VIDEO,8702
2009,COMIC,
2009,(Other),13501
2009,TOTAL,2226650
2010,BOOK,4217881
2010,VIDEODISC,2824185
2010,EBOOK,84328
2010,SOUNDDISC,1274448
2010,AUDIOBOOK,87551
2010,VIDEOCASS,15742
2010,SONG,
2010,MAGAZINE,
2010,MUSIC,15368
2010,SOUNDCASS,6213
2010,MIXED,8778
2010,MOVIE,
2010,CR,17918
2010,"SOUNDDISC, VIDEODISC",15740
2010,VISUAL,13009
2010,REGPRINT,713
2010,TELEVISION,
2010,SOUNDREC,9339
2010,VIDEO,8947
2010,COMIC,
2010,(Other),8806
2010,TOTAL,2190185
2011,BOOK,4081002
2011,VIDEODISC,2500652
2011,EBOOK,269917
2011,SOUNDDISC,1122552
2011,AUDIOBOOK,133447
2011,VIDEOCASS,3205
2011,SONG,120453
2011,MAGAZINE,
2011,MUSIC,14458
2011,SOUNDCASS,1401
2011,MIXED,5904
